epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,476.866,0.32203,0.48064,0.23244,0.77934,0.96495,0.99112,0.99054,0.93923,0.96495,0.99112,0.99054,0.77838,0.35474,0.6428,0.27703,0.78725,0.0011783,0.0011783,0.0011783
85,483.47,0.32778,0.49237,0.22971,0.78223,0.96328,0.98985,0.98896,0.92324,0.96328,0.98985,0.98896,0.7748,0.39797,0.68005,0.29158,0.79089,0.0011684,0.0011684,0.0011684
86,488.168,0.34489,0.49785,0.23758,0.77858,0.96121,0.99239,0.98788,0.93014,0.96121,0.99239,0.98788,0.78646,0.38987,0.65839,0.29531,0.7895,0.0011585,0.0011585,0.0011585
87,493.773,0.34569,0.47681,0.23636,0.78334,0.95949,0.99365,0.98688,0.9263,0.95949,0.99365,0.98688,0.77995,0.37908,0.65284,0.28948,0.78988,0.0011486,0.0011486,0.0011486
88,499.605,0.34745,0.48722,0.24078,0.78296,0.96419,0.99094,0.98693,0.91531,0.96419,0.99094,0.98693,0.78167,0.41039,0.64699,0.29912,0.79454,0.0011387,0.0011387,0.0011387
89,504.39,0.35555,0.47781,0.23883,0.784,0.96525,0.98858,0.98809,0.91812,0.96525,0.98858,0.98809,0.79395,0.41256,0.64066,0.29619,0.79375,0.0011288,0.0011288,0.0011288
90,510.161,0.34256,0.47093,0.23461,0.7835,0.96349,0.99112,0.99022,0.92794,0.96349,0.99112,0.99022,0.78667,0.3848,0.64247,0.28366,0.79149,0.0011189,0.0011189,0.0011189
91,515.409,0.34688,0.4703,0.23252,0.78325,0.96812,0.98731,0.99061,0.93914,0.96812,0.98731,0.99061,0.78041,0.36748,0.63541,0.27809,0.78927,0.001109,0.001109,0.001109
92,521.077,0.35472,0.49812,0.23715,0.78371,0.96427,0.99324,0.98883,0.9247,0.96427,0.99324,0.98883,0.78755,0.39043,0.62918,0.27964,0.79076,0.0010991,0.0010991,0.0010991
93,527.474,0.33893,0.47535,0.23122,0.78373,0.96833,0.98858,0.98869,0.92931,0.96833,0.98858,0.98869,0.7861,0.38475,0.64643,0.2799,0.7914,0.0010892,0.0010892,0.0010892
94,532.42,0.33502,0.45609,0.23134,0.783,0.96692,0.99239,0.98884,0.93537,0.96692,0.99239,0.98884,0.76793,0.36223,0.6386,0.27492,0.78913,0.0010793,0.0010793,0.0010793
95,538.579,0.32743,0.46539,0.22713,0.78137,0.9642,0.99239,0.98995,0.93561,0.9642,0.99239,0.98995,0.77388,0.36324,0.63347,0.27011,0.78888,0.0010694,0.0010694,0.0010694
96,544.241,0.32544,0.46094,0.22499,0.78336,0.96093,0.99365,0.98942,0.92899,0.96093,0.99365,0.98942,0.77544,0.37991,0.64644,0.28081,0.79014,0.0010595,0.0010595,0.0010595
97,549.15,0.32023,0.468,0.22391,0.7798,0.96087,0.99717,0.98877,0.93364,0.96087,0.99717,0.98877,0.76198,0.36907,0.6303,0.27387,0.78966,0.0010496,0.0010496,0.0010496
98,555.282,0.32609,0.45637,0.22371,0.78154,0.96086,0.99692,0.98811,0.93454,0.96086,0.99692,0.98811,0.77886,0.3557,0.6227,0.27241,0.78783,0.0010397,0.0010397,0.0010397
99,560.516,0.32604,0.46021,0.22117,0.78315,0.96196,0.99476,0.98791,0.92722,0.96196,0.99476,0.98791,0.78725,0.37043,0.615,0.27157,0.78963,0.0010298,0.0010298,0.0010298
100,567.027,0.31155,0.44932,0.21679,0.77876,0.96032,0.99365,0.98925,0.9234,0.96032,0.99365,0.98925,0.77024,0.39092,0.62494,0.28071,0.79007,0.0010199,0.0010199,0.0010199
101,572.285,0.33743,0.45997,0.22097,0.78101,0.95958,0.99432,0.9902,0.93192,0.95958,0.99432,0.9902,0.77955,0.37322,0.61749,0.27838,0.78813,0.00101,0.00101,0.00101
102,577.427,0.32964,0.45643,0.22193,0.78164,0.96303,0.99168,0.99084,0.92943,0.96303,0.99168,0.99084,0.78748,0.38248,0.63761,0.27565,0.79144,0.0010001,0.0010001,0.0010001
103,583.133,0.35511,0.46721,0.22915,0.78013,0.96305,0.99237,0.99133,0.92768,0.96305,0.99237,0.99133,0.78032,0.39039,0.64406,0.27956,0.79141,0.0009902,0.0009902,0.0009902
104,588.664,0.32532,0.46125,0.22385,0.77905,0.96423,0.99239,0.99058,0.93003,0.96423,0.99239,0.99058,0.78387,0.3794,0.62474,0.27114,0.78857,0.0009803,0.0009803,0.0009803
105,593.682,0.32144,0.44929,0.21854,0.7816,0.96652,0.98904,0.99022,0.936,0.96652,0.98904,0.99022,0.78365,0.36632,0.64819,0.26862,0.78793,0.0009704,0.0009704,0.0009704
106,599.837,0.32789,0.4817,0.22186,0.78148,0.96889,0.98823,0.98942,0.94011,0.96889,0.98823,0.98942,0.78332,0.35734,0.65568,0.2656,0.78734,0.0009605,0.0009605,0.0009605
107,604.825,0.32339,0.46672,0.21821,0.78161,0.96963,0.98858,0.98966,0.94252,0.96963,0.98858,0.98966,0.77824,0.35473,0.62461,0.26822,0.78626,0.0009506,0.0009506,0.0009506
108,610.85,0.31226,0.45612,0.21625,0.77942,0.9662,0.98985,0.98874,0.93796,0.9662,0.98985,0.98874,0.78739,0.35863,0.65006,0.27122,0.78678,0.0009407,0.0009407,0.0009407
109,617.041,0.3117,0.45365,0.21257,0.77725,0.96548,0.98985,0.98949,0.94156,0.96548,0.98985,0.98949,0.77456,0.34948,0.667,0.26773,0.78597,0.0009308,0.0009308,0.0009308
110,622.11,0.31235,0.45753,0.21748,0.77966,0.96421,0.99159,0.9897,0.93776,0.96421,0.99159,0.9897,0.78308,0.35431,0.64637,0.26841,0.78669,0.0009209,0.0009209,0.0009209
111,628.004,0.31657,0.45181,0.21442,0.78161,0.96418,0.99056,0.98985,0.92436,0.96418,0.99056,0.98985,0.79988,0.39279,0.64459,0.27455,0.78971,0.000911,0.000911,0.000911
112,633.477,0.31426,0.4489,0.21674,0.77808,0.96617,0.98985,0.99002,0.93748,0.96617,0.98985,0.99002,0.7719,0.36048,0.64532,0.26465,0.78714,0.0009011,0.0009011,0.0009011
